commit_sha,date,model,provider,error_accuracy,warning_accuracy,info_accuracy,total_accuracy,num_cases,duration_seconds,input_tokens,output_tokens,total_tokens
133566ac4c9cb006a29c4b89b47b28ea23084b63,2025-07-28T16:15:14+02:00,claude-sonnet-4-0,anthropic,0.6944,0.7333,0.7778,0.7352,9,342.74,,,
b007ad9850d62ca66dd1642a7bc56d4dfb18d847,2025-08-06T11:08:24+02:00,gpt-oss-120b,cerebras,0.6389,0.6889,0.8333,0.7204,9,22.10,,,
b007ad9850d62ca66dd1642a7bc56d4dfb18d847,2025-08-06T11:13:11+02:00,claude-sonnet-4-0,anthropic,0.6500,0.6222,0.5556,0.6093,9,204.12,115998,3262,119260
28716a313f91827f79d238c9ebe91cc1f7393bec,2025-08-06T11:41:50+02:00,gpt-oss-120b,cerebras,0.5278,0.6000,0.9167,0.6815,9,22.15,115998,3262,119260
ab9432141e3656b52b60ce9b58776c924095c476,2025-08-08T09:46:03+02:00,gpt-5-mini,openai,0.6389,0.6000,0.8056,0.6815,9,303.39,104175,29174,133349
ab9432141e3656b52b60ce9b58776c924095c476,2025-08-08T10:07:01+02:00,gemini-2.5-pro,gemini,0.5556,0.3778,0.8056,0.5796,9,434.48,110992,8109,152513
ab9432141e3656b52b60ce9b58776c924095c476,2025-08-08T10:28:41+02:00,claude-sonnet-4-0,anthropic,0.7056,0.7333,0.7778,0.7389,9,94.28,116538,4681,121219
ab9432141e3656b52b60ce9b58776c924095c476,2025-08-08T10:37:42+02:00,qwen-3-coder-480b,cerebras,0.7500,0.7778,0.8889,0.8056,9,16.33,107555,5841,113396
ab9432141e3656b52b60ce9b58776c924095c476,2025-08-08T10:41:53+02:00,claude-opus-4-1,anthropic,0.7778,0.8667,0.7222,0.7889,9,115.75,116538,4543,121081
ab9432141e3656b52b60ce9b58776c924095c476,2025-08-08T10:50:53+02:00,gpt-oss-120b,cerebras,0.7000,0.6889,0.6667,0.6852,9,20.17,105579,11820,117399
ab9432141e3656b52b60ce9b58776c924095c476,2025-08-08T10:59:07+02:00,claude-3-7-sonnet-latest,anthropic,0.6778,0.6000,0.6944,0.6574,9,158.31,116538,8543,125081
ab9432141e3656b52b60ce9b58776c924095c476,2025-08-08T11:44:47+02:00,gemini-2.5-flash,gemini,0.6806,0.6000,0.8333,0.7046,9,201.31,110992,11386,151917
ab9432141e3656b52b60ce9b58776c924095c476,2025-08-08T11:57:36+02:00,gpt-5,openai,0.5198,0.5333,0.8056,0.6196,9,1270.86,104175,52306,156481
